nom,format,episodes,studio,annee,note,popularite,rang,tags,lien,periode
Utawarerumono,TV,26,OLM,2006,3.853,11290,1598,action;fantasy;seinen;animal characteristics;rebellions;swordplay;war;based on an eroge;based on a visual novel,https://www.anime-planet.com/anime/utawarerumono,2002-2011
Pokemon Evolutions,Web,8,"OLM Digital, OLM",2021,3.852,279,1599,adventure;fantasy;family friendly;monsters;proxy battles;short episodes;based on a video game,https://www.anime-planet.com/anime/pokemon-evolutions,2017-2023
Houkago no Ouji-sama,DVD Special,5,"Production I.G, M.S.C.",2014,3.852,167,1600,shounen;sports;tennis;based on a manga;flash animation,https://www.anime-planet.com/anime/houkago-no-ouji-sama,2012-2016
Jujutsu Kaisen (2018),Web,3,,2018,3.852,99,1601,promotional;short episodes;based on a manga,https://www.anime-planet.com/anime/jujutsu-kaisen-2018,2017-2023
Beyblade Burst Dynamite Battle,Web,44,OLM,2021,3.852,28,1602,proxy battles,https://www.anime-planet.com/anime/beyblade-burst-dynamite-battle,2017-2023
Wo Zai Hougong Dang Ju Ju,Web,12,,2018,3.851,11,1603,drama;chinese animation;short episodes;based on a manga,https://www.anime-planet.com/anime/wo-zai-hougong-dang-ju-ju,2017-2023
Ze Tian Ji 5th Season,Web,12,Foch,2020,3.851,85,1604,action;adventure;fantasy;chinese animation;cultivation;based on a web novel,https://www.anime-planet.com/anime/ze-tian-ji-5th-season,2017-2023
Star Twinkle Pretty Cure Movie: Hoshi no Uta ni Omoi wo Komete,Movie,1,Toei Animation,2019,3.851,105,1605,fantasy;magical girl;henshin heroes;magic,https://www.anime-planet.com/anime/star-twinkle-pretty-cure-movie-hoshi-no-uta-ni-omoi-wo-komete,2017-2023
Heaven's Memo Pad,TV,12,J.C.Staff,2011,3.851,8570,1606,drama;mystery;detectives;gangs;neet;noir;yakuza;based on a light novel,https://www.anime-planet.com/anime/heavens-memo-pad,2002-2011
Garo Movie: Divine Flame,Movie,1,MAPPA,2016,3.851,699,1607,action;fantasy;dark fantasy;demons;magic;medieval;power suits;superheroes;supernatural;based on a tv series,https://www.anime-planet.com/anime/garo-movie-divine-flame,2012-2016
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,Movie,1,Shin-Ei Animation,2011,3.851,467,1608,sci fi;shounen;cats;family friendly;non-human protagonists;robots;based on a manga,https://www.anime-planet.com/anime/doraemon-movie-31-shin-nobita-to-tetsujin-heidan-habatake-tenshi-tachi,2002-2011
ChibiReve,Web,24,Studio Puyukai,2021,3.851,366,1609,comedy;shounen;chibi;delinquents;gangs;short episodes;based on a manga,https://www.anime-planet.com/anime/chibireve,2017-2023
Salaryman Kintaro,TV,20,JCF,2001,3.851,687,1610,comedy;drama;seinen;coworkers;salaryman;work life;based on a manga,https://www.anime-planet.com/anime/salaryman-kintaro,1907-2001
Amagi Brilliant Park,TV,13,Kyoto Animation,2014,3.851,15806,1611,comedy;drama;fantasy;shounen;amusement park;contemporary fantasy;coworkers;magic;management;work life;based on a light novel,https://www.anime-planet.com/anime/amagi-brilliant-park,2012-2016
Kuroko's Basketball 2: NG-shuu,DVD Special,9,Production I.G,2014,3.851,603,1612,comedy;shounen;sports;basketball,https://www.anime-planet.com/anime/kurokos-basketball-2-ng-shuu,2012-2016
One Piece Movie 9: Episode of Chopper - The Miracle Winter Cherry Blossom,Movie,1,Toei Animation,2008,3.85,5983,1613,action;adventure;comedy;shounen;island;pirates;based on a manga,https://www.anime-planet.com/anime/one-piece-movie-9-episode-of-chopper-the-miracle-winter-cherry-blossom,2002-2011
The Familiar of Zero,TV,13,J.C.Staff,2006,3.85,43882,1614,comedy;fantasy;isekai;magic;magic school;master-servant relationship;person in a strange world;school life;summoned into another world;tsundere;based on a light novel,https://www.anime-planet.com/anime/the-familiar-of-zero,2002-2011
My Bride is a Mermaid,TV,26,"AIC, GONZO",2007,3.85,16793,1615,comedy;romance;shounen;arranged marriage;gangs;interspecies relationship;mermaids;school life;slapstick;sudden girlfriend appearance;yakuza;based on a manga,https://www.anime-planet.com/anime/my-bride-is-a-mermaid,2002-2011
Hell Girl: Three Vessels,TV,26,Studio DEEN,2008,3.85,5157,1616,horror;body sharing;deal with the devil;episodic;melancholy;supernatural;youkai;original work,https://www.anime-planet.com/anime/hell-girl-three-vessels,2002-2011
Himouto! Umaru-chan OVA,OVA,1,Doga Kobo,2017,3.85,950,1617,comedy;seinen;slice of life;chibi;otaku culture;siblings;based on a manga,https://www.anime-planet.com/anime/himouto-umaru-chan-ova,2017-2023
Koyomimonogatari,Web,12,SHAFT,2016,3.85,3801,1618,comedy;ecchi;mystery;episodic;supernatural;based on a light novel,https://www.anime-planet.com/anime/koyomimonogatari,2012-2016
Wise Man’s Grandchild,TV,12,SILVER LINK.,2019,3.85,18525,1619,action;adventure;fantasy;isekai;magic;overpowered main characters;person in a strange world;reincarnation;based on a light novel,https://www.anime-planet.com/anime/wise-mans-grandchild,2017-2023
Himouto! Umaru-chan R,TV,12,Doga Kobo,2017,3.85,3992,1620,comedy;seinen;slice of life;chibi;gag;otaku culture;school life;siblings;based on a manga,https://www.anime-planet.com/anime/himouto-umaru-chan-r,2017-2023
Bleach Movie 1: Memories of Nobody,Movie,1,Pierrot,2006,3.85,31367,1621,action;shounen;shinigami;supernatural;swordplay;based on a manga,https://www.anime-planet.com/anime/bleach-movie-1-memories-of-nobody,2002-2011
Toradora! The True Meaning of Bento,Other,1,J.C.Staff,2011,3.849,8410,1622,comedy;shounen;school life;based on a light novel,https://www.anime-planet.com/anime/toradora-the-true-meaning-of-bento,2002-2011
Slam Dunk Movie 4,Movie,1,Toei Animation,1995,3.849,977,1623,action;comedy;drama;shounen;sports;basketball;school club;school life;based on a manga,https://www.anime-planet.com/anime/slam-dunk-movie-4,1907-2001
Sailor Moon Sailor Stars,TV,34,Toei Animation,1996,3.849,8794,1624,fantasy;magical girl;shoujo;contemporary fantasy;elemental powers;henshin heroes;magic;sentai;tokusatsu;urban fantasy;based on a manga,https://www.anime-planet.com/anime/sailor-moon-sailor-stars,1907-2001
Ranma 1/2 Special,OVA,2,Studio DEEN,1994,3.849,1418,1625,comedy;shounen;martial arts;based on a manga,https://www.anime-planet.com/anime/ranma-special,1907-2001
Mahou Sensei Negima! ~Mou Hitotsu no Sekai~,OVA,4,"Studio Pastoral, SHAFT",2009,3.849,1432,1626,shounen;magic;based on a manga,https://www.anime-planet.com/anime/mahou-sensei-negima-mou-hitotsu-no-sekai,2002-2011
Valkyria Chronicles,TV,26,A-1 Pictures,2009,3.849,7908,1627,action;europe;military;war;based on a video game,https://www.anime-planet.com/anime/valkyria-chronicles,2002-2011
Les Miserables: Shoujo Cosette,TV,52,Nippon Animation,2007,3.848,726,1628,drama;19th century;europe;france;historical;social gap;world masterpiece theater;based on a novel,https://www.anime-planet.com/anime/les-miserables-shoujo-cosette,2002-2011
Detective Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,OVA,1,TMS Entertainment,2011,3.848,904,1629,mystery;shounen;age transformation;detectives;based on a manga,https://www.anime-planet.com/anime/detective-conan-magic-file-5-niigata-tokyo-omiyage-capriccio,2002-2011
Date a Live III,TV,12,J.C.Staff,2019,3.848,5629,1630,action;drama;ecchi;harem;romance;sci fi;based on a light novel,https://www.anime-planet.com/anime/date-a-live-iii,2017-2023
The Idaten Deities Know Only Peace,TV,11,MAPPA,2021,3.848,1536,1631,action;fantasy;demons;gods;noitamina;supernatural;based on a manga,https://www.anime-planet.com/anime/the-idaten-deities-know-only-peace,2017-2023
