nom,format,episodes,studio,annee,note,popularite,rang,tags,lien,periode
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,TV,9,ufotable,2021,4.636,4953,1,action;adventure;fantasy;shounen;demons;historical;martial arts;orphans;siblings;swordplay;based on a manga,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-entertainment-district-arc,2017-2023
Attack on Titan The Final Season: Part II,TV,4,MAPPA,2022,4.617,2980,2,action;drama;fantasy;horror;shounen;dark fantasy;military;war;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-the-final-season-part-ii,2017-2023
Fruits Basket the Final Season,TV,13,"TMS Entertainment, 8 Pan",2021,4.604,6796,3,drama;fantasy;romance;shoujo;animal transformation;contemporary fantasy;curse;dysfunctional families;mental illness;orphans;based on a manga,https://www.anime-planet.com/anime/fruits-basket-the-final-season,2017-2023
Mo Dao Zu Shi 3,Web,12,B.C MAY PICTURES,2021,4.587,1182,4,fantasy;ancient china;chinese animation;cultivation;xianxia;based on a web novel,https://www.anime-planet.com/anime/mo-dao-zu-shi-3,2017-2023
Fullmetal Alchemist: Brotherhood,TV,64,Bones,2009,4.579,105588,5,action;adventure;drama;fantasy;mystery;shounen;conspiracy;death of a loved one;military;siblings;based on a manga,https://www.anime-planet.com/anime/fullmetal-alchemist-brotherhood,2002-2011
Attack on Titan 3rd Season: Part II,TV,10,WIT Studio,2019,4.57,43399,6,action;fantasy;horror;shounen;dark fantasy;isolated society;military;outside world;post-apocalyptic;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-3rd-season-part-ii,2017-2023
Jujutsu Kaisen,TV,24,MAPPA,2020,4.564,45248,7,action;horror;shounen;body sharing;curse;exorcists;monsters;school life;supernatural;based on a manga,https://www.anime-planet.com/anime/jujutsu-kaisen,2017-2023
Attack on Titan The Final Season,TV,16,MAPPA,2020,4.552,29784,8,action;drama;fantasy;horror;shounen;dark fantasy;military;war;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-the-final-season,2017-2023
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Movie,1,ufotable,2020,4.542,23542,9,action;drama;fantasy;shounen;demons;historical;martial arts;orphans;siblings;swordplay;trains;based on a manga,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-movie-mugen-train,2017-2023
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV,10,Production I.G,2016,4.532,33793,10,shounen;sports;animeism;school club;school life;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-karasuno-high-school-vs-shiratorizawa-academy,2012-2016
your name.,Movie,1,CoMix Wave Films,2016,4.515,71408,11,drama;romance;body swapping;gender bender;opposites attract;school life;supernatural;original work,https://www.anime-planet.com/anime/your-name,2012-2016
Haikyuu!! Second Season,TV,25,Production I.G,2015,4.512,42868,12,shounen;sports;school club;school life;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-second-season,2012-2016
Demon Slayer: Kimetsu no Yaiba,TV,26,ufotable,2019,4.512,69929,13,action;adventure;comedy;drama;fantasy;shounen;death of a loved one;demons;historical;martial arts;orphans;siblings;swordplay;based on a manga,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba,2017-2023
Hunter x Hunter (2011),TV,148,MADHOUSE,2011,4.511,75338,14,action;adventure;drama;fantasy;shounen;monsters;superpowers;based on a manga,https://www.anime-planet.com/anime/hunter-x-hunter-2011,2002-2011
A Silent Voice,Movie,1,Kyoto Animation,2016,4.509,64284,15,drama;shounen;disability;melancholy;mental illness;school life;based on a manga,https://www.anime-planet.com/anime/a-silent-voice,2012-2016
Violet Evergarden Movie,Movie,1,Kyoto Animation,2020,4.504,5473,16,drama;melancholy;war;based on a light novel,https://www.anime-planet.com/anime/violet-evergarden-movie,2017-2023
Heaven Official's Blessing Special,Web,1,Haoliners Animation League,2021,4.501,2131,17,bl;romance;shounen-ai;afterlife;ancient china;chinese animation;demon king;ghosts;gods;interspecies relationship;non-human protagonists;opposites attract;royalty;supernatural;xianxia;based on a web novel,https://www.anime-planet.com/anime/heaven-officials-blessing-special,2017-2023
Haikyuu!! To the Top: Part II,TV,12,Production I.G,2020,4.499,15351,18,shounen;sports;animeism;school club;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-to-the-top-part-ii,2017-2023
That Time I Got Reincarnated as a Slime Season 2,TV,12,8-Bit,2021,4.484,17306,19,action;adventure;fantasy;shounen;cheats;demons;isekai;kingdom building;magic;management;modern knowledge;monsters;person in a strange world;political;reincarnation;rpg;slimes;based on a manga,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime-season-2,2017-2023
Given,TV,11,Lerche,2019,4.483,20630,20,bl;drama;romance;shounen-ai;death of a loved one;music;noitamina;based on a manga,https://www.anime-planet.com/anime/given,2017-2023
Code Geass: Lelouch of the Rebellion R2,TV,25,Sunrise,2008,4.472,73340,21,mecha;sci fi;conspiracy;mind games;overpowered main characters;political;psychological;real robot;rebellions;rivalries;royalty;secret identity;superpowers;terrorism;original work,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion-r2,2002-2011
Gintama: The Very Final,Movie,1,BN Pictures,2021,4.468,742,22,action;comedy;drama;sci fi;shounen;aliens;feudal japan;gag;parody;samurai;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-the-very-final,2017-2023
Mo Dao Zu Shi 2,Web,8,B.C MAY PICTURES,2019,4.468,3908,23,action;fantasy;mystery;ancient china;chinese animation;cultivation;historical;martial arts;overpowered main characters;supernatural;swordplay;war;xianxia;zombies;based on a web novel,https://www.anime-planet.com/anime/mo-dao-zu-shi-2,2017-2023
Link Click,Web,11,Studio LAN,2021,4.464,2093,24,drama;fantasy;chinese animation;contemporary fantasy;superpowers;time travel;urban fantasy;original work,https://www.anime-planet.com/anime/link-click,2017-2023
Mob Psycho 100 II,TV,13,Bones,2019,4.462,26702,25,action;comedy;exorcists;psychic powers;psychological;school life;supernatural;superpowers;based on a manga,https://www.anime-planet.com/anime/mob-psycho-100-ii,2017-2023
Haikyuu!! To the Top,TV,13,Production I.G,2020,4.459,20691,26,shounen;sports;animeism;school club;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-to-the-top,2017-2023
Fruits Basket 2nd Season,TV,25,"8 Pan, TMS Entertainment",2020,4.457,10999,27,comedy;drama;fantasy;romance;shoujo;animal transformation;contemporary fantasy;curse;dysfunctional families;love triangle;mental illness;orphans;based on a manga,https://www.anime-planet.com/anime/fruits-basket-2nd-season,2017-2023
Heaven Official's Blessing,Web,11,Haoliners Animation League,2020,4.456,4370,28,action;bl;comedy;drama;romance;shounen-ai;afterlife;ancient china;chinese animation;demon king;demons;ghosts;gods;heaven;historical;interspecies relationship;non-human protagonists;opposites attract;religion;royalty;supernatural;xianxia;based on a web novel,https://www.anime-planet.com/anime/heaven-officials-blessing,2017-2023
Spirited Away,Movie,1,Studio Ghibli,2001,4.454,104026,29,adventure;fantasy;curse;family friendly;japanese mythology;magic;person in a strange world;youkai;original work,https://www.anime-planet.com/anime/spirited-away,1907-2001
The Promised Neverland,TV,12,CloverWorks,2019,4.453,49815,30,fantasy;horror;mystery;sci fi;shounen;dark fantasy;isolated society;mind games;noitamina;orphans;outside world;psychological;thriller;based on a manga,https://www.anime-planet.com/anime/the-promised-neverland,2017-2023
That Time I Got Reincarnated as a Slime Season 2: Part II,TV,12,8-Bit,2021,4.452,11055,31,action;adventure;fantasy;shounen;cheats;demons;isekai;kingdom building;magic;management;modern knowledge;monsters;person in a strange world;political;reincarnation;rpg;slimes;based on a manga,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime-season-2-part-ii,2017-2023
Gintama: Shirogane no Tamashii-hen 2,TV,14,BN Pictures,2018,4.448,3340,32,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-shirogane-no-tamashii-hen-2,2017-2023
Ranking of Kings,TV,16,WIT Studio,2021,4.447,1995,33,action;adventure;fantasy;coming of age;disability;royalty;based on a manga,https://www.anime-planet.com/anime/ranking-of-kings,2017-2023
Clannad After Story,TV,24,Kyoto Animation,2008,4.445,45831,34,drama;romance;adult couples;coming of age;family life;illness;based on a visual novel,https://www.anime-planet.com/anime/clannad-after-story,2002-2011
Banana Fish,TV,24,MAPPA,2018,4.445,18338,35,action;drama;shoujo;america;criminals;gangs;noitamina;based on a manga,https://www.anime-planet.com/anime/banana-fish,2017-2023
Gintama': Enchousen,TV,13,Sunrise,2012,4.445,9254,36,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;parody;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-enchousen,2012-2016
Mo Dao Zu Shi,Web,15,B.C MAY PICTURES,2018,4.444,6090,37,action;adventure;mystery;ancient china;chinese animation;cultivation;historical;rebellions;supernatural;swordplay;war;xianxia;zombies;based on a web novel,https://www.anime-planet.com/anime/mo-dao-zu-shi,2017-2023
Gintama: Shirogane no Tamashii-hen,TV,12,BN Pictures,2018,4.444,3748,38,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-shirogane-no-tamashii-hen,2017-2023
Mushoku Tensei: Jobless Reincarnation - Part II,TV,12,Studio Bind,2021,4.443,7324,39,action;adventure;drama;fantasy;romance;demons;isekai;magic;neet;person in a strange world;reincarnation;based on a light novel,https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation-part-ii,2017-2023
Douluo Dalu 2,Web,167,Sparkly Key Animation Studio,2018,4.443,1175,40,action;fantasy;chinese animation;cultivation;xianxia;based on a web novel;cg animation,https://www.anime-planet.com/anime/douluo-dalu-2,2017-2023
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie,1,Sunrise,2013,4.443,7375,41,action;comedy;drama;sci fi;shounen;aliens;feudal japan;samurai;swordplay;time travel;based on a manga,https://www.anime-planet.com/anime/gintama-kanketsu-hen-yorozuya-yo-eien-nare,2012-2016
Gintama.,TV,12,BN Pictures,2017,4.443,6231,42,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-2017,2017-2023
Attack on Titan 3rd Season,TV,12,WIT Studio,2018,4.442,46577,43,action;fantasy;horror;dark fantasy;isolated society;military;outside world;political;post-apocalyptic;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-3rd-season,2017-2023
Steins;Gate,TV,24,WHITE FOX,2011,4.441,57206,44,sci fi;conspiracy;lgbt themes;psychological;thriller;time travel;based on a visual novel,https://www.anime-planet.com/anime/steins-gate,2002-2011
Demon Slayer: Kimetsu no Yaiba - Mugen Train,TV,7,ufotable,2021,4.439,6772,45,action;drama;fantasy;shounen;demons;historical;orphans;siblings;swordplay;trains;based on a manga,https://www.anime-planet.com/anime/demon-slayer-kimetsu-no-yaiba-mugen-train,2017-2023
Gintama',TV,51,Sunrise,2011,4.437,12447,46,action;comedy;drama;sci fi;shounen;aliens;breaking the fourth wall;crude;feudal japan;gag;parody;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-2011,2002-2011
Haikyuu!!,TV,25,Production I.G,2014,4.437,55496,47,shounen;sports;school club;school life;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu,2012-2016
Howl's Moving Castle,Movie,1,Studio Ghibli,2004,4.436,80596,48,adventure;fantasy;romance;curse;family friendly;lifestyle change;magic;witches;based on a novel,https://www.anime-planet.com/anime/howls-moving-castle,2002-2011
Gintama°,TV,51,BN Pictures,2015,4.436,9635,49,action;comedy;drama;sci fi;shounen;aliens;breaking the fourth wall;crude;feudal japan;gag;parody;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-2015,2012-2016
One-Punch Man,TV,12,MADHOUSE,2015,4.436,92663,50,action;comedy;sci fi;seinen;cyborgs;monsters;overpowered main characters;parody;satire;superheroes;superpowers;based on a manga,https://www.anime-planet.com/anime/one-punch-man,2012-2016
Natsume's Book of Friends Season 6,TV,11,Shuka,2017,4.434,4597,51,drama;fantasy;shoujo;bodyguards;cats;countryside;episodic;iyashikei;japanese mythology;orphans;supernatural;youkai;based on a manga,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-6,2017-2023
JoJo's Bizarre Adventure: Golden Wind,TV,39,David Production,2018,4.43,15592,52,action;adventure;shounen;europe;italy;supernatural;based on a manga,https://www.anime-planet.com/anime/jojos-bizarre-adventure-golden-wind,2017-2023
Vinland Saga,TV,24,WIT Studio,2019,4.418,16970,53,action;seinen;death of a loved one;england;europe;historical;medieval;revenge;swordplay;war;weak to strong;based on a manga,https://www.anime-planet.com/anime/vinland-saga,2017-2023
Natsume's Book of Friends Season 4,TV,13,Brain's Base,2012,4.403,9093,54,drama;shoujo;slice of life;bodyguards;cats;countryside;episodic;iyashikei;japanese mythology;orphans;supernatural;youkai;based on a manga,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-4,2012-2016
Natsume's Book of Friends Season 5,TV,11,Shuka,2016,4.401,5167,55,drama;shoujo;slice of life;bodyguards;cats;countryside;episodic;iyashikei;japanese mythology;orphans;supernatural;youkai;based on a manga,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-5,2012-2016
JoJo's Bizarre Adventure: Stone Ocean,Web,12,David Production,2021,4.401,2471,56,action;adventure;shounen;america;prison;supernatural;based on a manga,https://www.anime-planet.com/anime/jojos-bizarre-adventure-stone-ocean,2017-2023
Assassination Classroom 2nd Season,TV,25,Lerche,2016,4.401,38714,57,action;comedy;sci fi;shounen;assassins;non-human protagonists;overpowered main characters;parody;school life;teaching;based on a manga,https://www.anime-planet.com/anime/assassination-classroom-2nd-season,2012-2016
Violet Evergarden,TV,13,Kyoto Animation,2018,4.399,30974,58,drama;lifestyle change;melancholy;war;based on a light novel,https://www.anime-planet.com/anime/violet-evergarden,2017-2023
My Hero Academia 3,TV,25,Bones,2018,4.397,61285,59,action;comedy;drama;sci fi;shounen;superheroes;superpowers;based on a manga,https://www.anime-planet.com/anime/my-hero-academia-3,2017-2023
That Time I Got Reincarnated as a Slime,TV,24,8-Bit,2018,4.397,39233,60,action;adventure;comedy;fantasy;shounen;cheats;demons;isekai;kingdom building;magic;management;modern knowledge;monsters;non-human protagonists;overpowered main characters;person in a strange world;political;reincarnation;rpg;slimes;based on a manga,https://www.anime-planet.com/anime/that-time-i-got-reincarnated-as-a-slime,2017-2023
Wolf Children,Movie,1,Studio Chizu,2012,4.393,33648,61,fantasy;slice of life;animal characteristics;animal transformation;childcare;coming of age;contemporary fantasy;countryside;death of a loved one;family life;lifestyle change;single parent;werewolves;original work,https://www.anime-planet.com/anime/wolf-children,2012-2016
My Hero Academia 2,TV,25,Bones,2017,4.393,74492,62,action;comedy;drama;sci fi;shounen;school life;superheroes;superpowers;tournaments;weak to strong;based on a manga,https://www.anime-planet.com/anime/my-hero-academia-2,2017-2023
Hajime no Ippo: The Fighting!,TV,75,MADHOUSE,2000,4.382,16964,63,action;drama;shounen;sports;boxing;hand to hand combat;weak to strong;based on a manga,https://www.anime-planet.com/anime/hajime-no-ippo-the-fighting,1907-2001
SK8 the Infinity,TV,12,Bones,2021,4.381,13125,64,comedy;sports;racing;original work,https://www.anime-planet.com/anime/sk8-the-infinity,2017-2023
Code Geass: Lelouch of the Rebellion,TV,25,Sunrise,2006,4.381,88832,65,mecha;sci fi;conspiracy;mind games;overpowered main characters;political;psychological;real robot;rebellions;revenge;rivalries;royalty;secret identity;superpowers;terrorism;original work,https://www.anime-planet.com/anime/code-geass-lelouch-of-the-rebellion,2002-2011
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,TV,24,David Production,2015,4.376,20967,66,action;adventure;comedy;shounen;monster-of-the-week;proxy battles;supernatural;based on a manga,https://www.anime-planet.com/anime/jojos-bizarre-adventure-stardust-crusaders-battle-in-egypt,2012-2016
Kamisama Kiss: Kako-hen,OVA,4,"TMS Entertainment, V1 Studio",2015,4.375,9944,67,comedy;romance;shoujo;animal characteristics;interspecies relationship;japanese mythology;master-servant relationship;non-human protagonists;based on a manga,https://www.anime-planet.com/anime/kamisama-kiss-kako-hen,2012-2016
Mushishi Zoku Shou 2nd Season,TV,10,Artland,2014,4.374,6883,68,fantasy;seinen;episodic;iyashikei;supernatural;based on a manga,https://www.anime-planet.com/anime/mushishi-zoku-shou-2nd-season,2012-2016
Yona of the Dawn: Zeno Arc,OVA,2,Pierrot,2016,4.373,5048,69,action;adventure;drama;fantasy;romance;shoujo;death of a loved one;orphans;political;royalty;based on a manga,https://www.anime-planet.com/anime/yona-of-the-dawn-zeno-arc,2012-2016
Hajime no Ippo: New Challenger,TV,26,MADHOUSE,2009,4.373,11338,70,action;drama;shounen;sports;boxing;hand to hand combat;tournaments;based on a manga,https://www.anime-planet.com/anime/hajime-no-ippo-new-challenger,2002-2011
JoJo's Bizarre Adventure: Diamond is Unbreakable,TV,39,David Production,2016,4.373,19032,71,action;mystery;shounen;proxy battles;supernatural;based on a manga,https://www.anime-planet.com/anime/jojos-bizarre-adventure-diamond-is-unbreakable,2012-2016
Attack on Titan,TV,25,WIT Studio,2013,4.372,133696,72,action;fantasy;horror;shounen;dark fantasy;death of a loved one;isolated society;military;outside world;overpowered main characters;post-apocalyptic;revenge;based on a manga,https://www.anime-planet.com/anime/attack-on-titan,2012-2016
Gintama: Porori-hen,TV,13,BN Pictures,2017,4.37,3559,73,action;comedy;drama;sci fi;shounen;aliens;crude;feudal japan;gag;samurai;slapstick;swordplay;based on a manga,https://www.anime-planet.com/anime/gintama-porori-hen,2017-2023
Natsume's Book of Friends Season 3,TV,13,Brain's Base,2011,4.369,10162,74,drama;shoujo;slice of life;bodyguards;cats;countryside;episodic;iyashikei;japanese mythology;orphans;supernatural;youkai;based on a manga,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-3,2002-2011
Attack on Titan 2nd Season,TV,12,WIT Studio,2017,4.368,61458,75,action;fantasy;horror;shounen;dark fantasy;isolated society;military;outside world;overpowered main characters;post-apocalyptic;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-2nd-season,2017-2023
I Want to Eat Your Pancreas,Movie,1,Studio VOLN,2018,4.368,17189,76,drama;romance;seinen;coming of age;illness;opposites attract;school life;based on a novel,https://www.anime-planet.com/anime/i-want-to-eat-your-pancreas,2017-2023
Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,OVA,1,Production I.G,2017,4.368,4786,77,shounen;sports;recap;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-tokushuu-harukou-volley-ni-kaketa-seishun,2017-2023
Kaguya-sama: Love Is War?,TV,12,A-1 Pictures,2020,4.368,18331,78,comedy;drama;romance;seinen;episodic;love confession;mind games;school life;student council;based on a manga,https://www.anime-planet.com/anime/kaguya-sama-love-is-war-2,2017-2023
Mushishi Zoku Shou,TV,10,Artland,2014,4.367,7730,79,fantasy;seinen;episodic;iyashikei;supernatural;based on a manga,https://www.anime-planet.com/anime/mushishi-zoku-shou,2012-2016
March Comes in like a Lion 2nd Season,TV,22,SHAFT,2017,4.367,5961,80,drama;seinen;slice of life;board games;melancholy;orphans;psychological;based on a manga,https://www.anime-planet.com/anime/march-comes-in-like-a-lion-2nd-season,2017-2023
BTS: We are Bulletproof - the Eternal,Music Video,1,Studio Pivote,2020,4.367,926,81,chibi;korean animation,https://www.anime-planet.com/anime/bts-we-are-bulletproof-the-eternal,2017-2023
Princess Mononoke,Movie,1,Studio Ghibli,1997,4.366,68852,82,action;adventure;fantasy;curse;environmental;feudal japan;forest;japanese mythology;royalty;original work,https://www.anime-planet.com/anime/princess-mononoke,1907-2001
Rascal Does Not Dream of a Dreaming Girl,Movie,1,CloverWorks,2019,4.366,10599,83,drama;romance;illness;senpai-kouhai relationship;supernatural;time travel;based on a light novel,https://www.anime-planet.com/anime/rascal-does-not-dream-of-a-dreaming-girl,2017-2023
Kuroko's Basketball 3,TV,25,Production I.G,2015,4.366,21551,84,shounen;sports;basketball;school club;tournaments;based on a manga,https://www.anime-planet.com/anime/kurokos-basketball-3,2012-2016
Given Movie,Movie,1,Lerche,2020,4.364,7421,85,bl;drama;romance;shounen-ai;adult couples;codependency;love triangle;mature romance;music;based on a manga,https://www.anime-planet.com/anime/given-movie,2017-2023
Haikyuu!! Movie 4: Battle of Concepts,Movie,1,Production I.G,2017,4.363,3015,86,shounen;sports;recap;school club;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-movie-4-battle-of-concepts,2017-2023
Attack on Titan: No Regrets,OVA,2,WIT Studio,2014,4.363,18159,87,action;fantasy;shoujo;dark fantasy;isolated society;military;outside world;post-apocalyptic;based on a manga,https://www.anime-planet.com/anime/attack-on-titan-no-regrets,2012-2016
Dr. Stone,TV,24,"8 Pan, TMS Entertainment",2019,4.363,35610,88,adventure;comedy;sci fi;shounen;person in a strange world;post-apocalyptic;prehistoric;survival;based on a manga,https://www.anime-planet.com/anime/dr-stone,2017-2023
Cowboy Bebop,TV,26,Sunrise,1998,4.362,66059,89,action;adventure;drama;sci fi;bounty hunters;episodic;noir;outer space;western;original work,https://www.anime-planet.com/anime/cowboy-bebop,1907-2001
Horimiya,TV,13,CloverWorks,2021,4.361,19621,90,comedy;romance;shounen;romantic comedy;school life;based on a manga,https://www.anime-planet.com/anime/horimiya,2017-2023
Hotarubi no Mori e,Movie,1,Brain's Base,2011,4.361,28037,91,drama;romance;shoujo;coming of age;forest;japanese mythology;loneliness;melancholy;supernatural;youkai;based on a manga,https://www.anime-planet.com/anime/hotarubi-no-mori-e,2002-2011
Monogatari Series: Second Season,TV,26,SHAFT,2013,4.36,13041,92,action;comedy;drama;ecchi;mystery;romance;supernatural;tsundere;based on a light novel,https://www.anime-planet.com/anime/monogatari-series-second-season,2012-2016
The Disastrous Life of Saiki K. 2nd Season,TV,24,J.C.Staff,2018,4.359,14463,93,comedy;shounen;slice of life;breaking the fourth wall;gag;psychic powers;school life;supernatural;superpowers;based on a manga,https://www.anime-planet.com/anime/the-disastrous-life-of-saiki-k-2nd-season,2017-2023
Doukyuusei,Movie,1,A-1 Pictures,2016,4.359,11010,94,bl;drama;romance;shounen-ai;all-boys school;lgbt themes;opposites attract;school life;based on a manga,https://www.anime-planet.com/anime/doukyuusei,2012-2016
Castlevania Season 4,Web,10,"Tiger Animation, Powerhouse Animation",2021,4.358,3640,95,action;adventure;drama;horror;15th century;europe;historical;magic;medieval;supernatural;vampires;based on a video game,https://www.anime-planet.com/anime/castlevania-season-4,2017-2023
ERASED,TV,12,A-1 Pictures,2016,4.356,56962,96,drama;mystery;seinen;age transformation;crime;death of a loved one;dysfunctional families;melancholy;noitamina;serial killers;supernatural;thriller;time travel;based on a manga,https://www.anime-planet.com/anime/erased,2012-2016
Mo Dao Zu Shi Q,Web,30,B.C MAY PICTURES,2020,4.356,721,97,comedy;ancient china;chibi;chinese animation;episodic;historical;short episodes,https://www.anime-planet.com/anime/mo-dao-zu-shi-q,2017-2023
The Rising of the Shield Hero,TV,25,Kinema Citrus,2019,4.356,41382,98,action;adventure;drama;fantasy;seinen;animal characteristics;betrayal;dark fantasy;demons;framed for a crime;isekai;monsters;person in a strange world;rpg;summoned into another world;based on a light novel,https://www.anime-planet.com/anime/the-rising-of-the-shield-hero,2017-2023
Hajime no Ippo: Rising,TV,25,"MADHOUSE, MAPPA",2013,4.355,7154,99,action;drama;shounen;sports;boxing;hand to hand combat;based on a manga,https://www.anime-planet.com/anime/hajime-no-ippo-rising,2012-2016
"Josee, the Tiger and the Fish",Movie,1,Bones,2020,4.355,2967,100,drama;romance;disability;based on a novel,https://www.anime-planet.com/anime/josee-the-tiger-and-the-fish,2017-2023
To Your Eternity,TV,20,Brain's Base,2021,4.353,8302,101,adventure;drama;fantasy;shounen;animal transformation;melancholy;non-human protagonists;supernatural;survival;based on a manga,https://www.anime-planet.com/anime/to-your-eternity,2017-2023
Rurouni Kenshin: Tsuiokuhen,OVA,4,Studio DEEN,1999,4.35,21222,102,drama;romance;19th century;feudal japan;historical;melancholy;samurai;star-crossed lovers;swordplay;based on a manga,https://www.anime-planet.com/anime/rurouni-kenshin-tsuiokuhen,1907-2001
Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV,12,Studio DEEN,2017,4.35,2740,103,drama;josei;adult couples;animeism;apprenticeship;historical;rakugo;based on a manga,https://www.anime-planet.com/anime/descending-stories-shouwa-genroku-rakugo-shinjuu,2017-2023
Made in Abyss,TV,13,Kinema Citrus,2017,4.35,21935,104,adventure;drama;fantasy;mystery;sci fi;seinen;androids;curse;dark fantasy;melancholy;non-human protagonists;orphans;outside world;psychological;robots;based on a manga,https://www.anime-planet.com/anime/made-in-abyss,2017-2023
Haikyuu!! Movie 3: Talent and Sense,Movie,1,Production I.G,2017,4.348,3057,105,shounen;sports;recap;school club;school life;tournaments;volleyball;based on a manga,https://www.anime-planet.com/anime/haikyuu-movie-3-talent-and-sense,2017-2023
Natsume's Book of Friends Season 2,TV,13,Brain's Base,2009,4.346,11684,106,drama;shoujo;slice of life;bodyguards;cats;countryside;episodic;iyashikei;japanese mythology;orphans;supernatural;youkai;based on a manga,https://www.anime-planet.com/anime/natsumes-book-of-friends-season-2,2002-2011
Fruits Basket 1st Season,TV,25,"TMS Entertainment, 8 Pan",2019,4.346,19214,107,comedy;drama;fantasy;romance;shoujo;animal transformation;contemporary fantasy;curse;death of a loved one;dysfunctional families;love triangle;orphans;slapstick;based on a manga,https://www.anime-planet.com/anime/fruits-basket-1st-season,2017-2023
Made in Abyss Movie: Dawn of the Deep Soul,Movie,1,Kinema Citrus,2020,4.344,3648,108,adventure;fantasy;horror;mystery;sci fi;seinen;curse;dark fantasy;human experimentation;non-human protagonists;orphans;outside world;robots;based on a manga,https://www.anime-planet.com/anime/made-in-abyss-movie-dawn-of-the-deep-soul,2017-2023
Kizumonogatari Part 3: Reiketsu,Movie,1,SHAFT,2017,4.344,6677,109,action;drama;ecchi;psychological;supernatural;vampires;based on a light novel,https://www.anime-planet.com/anime/kizumonogatari-part-3-reiketsu,2017-2023
Dr. Stone: Stone Wars,TV,11,"8 Pan, TMS Entertainment",2021,4.342,14157,110,adventure;comedy;sci fi;shounen;person in a strange world;post-apocalyptic;prehistoric;survival;based on a manga,https://www.anime-planet.com/anime/dr-stone-stone-wars,2017-2023
Owarimonogatari II,TV Special,2,SHAFT,2017,4.341,4251,111,drama;mystery;romance;supernatural;based on a light novel,https://www.anime-planet.com/anime/owarimonogatari-ii,2017-2023
My Hero Academia 4,TV,25,Bones,2019,4.34,38753,112,action;drama;sci fi;shounen;superheroes;superpowers;based on a manga,https://www.anime-planet.com/anime/my-hero-academia-4,2017-2023
Great Teacher Onizuka,TV,43,Pierrot,1999,4.339,31281,113,comedy;drama;shounen;delinquents;school life;slapstick;teaching;work life;based on a manga,https://www.anime-planet.com/anime/great-teacher-onizuka,1907-2001
Your lie in April,TV,22,A-1 Pictures,2014,4.338,54187,114,drama;romance;shounen;classical music;illness;melancholy;mental illness;music;noitamina;psychological;school life;tournaments;unrequited love;based on a manga,https://www.anime-planet.com/anime/your-lie-in-april,2012-2016
Bungo Stray Dogs 3rd Season,TV,12,Bones,2019,4.337,11911,115,action;mystery;seinen;supernatural;superpowers;based on a manga,https://www.anime-planet.com/anime/bungo-stray-dogs-3rd-season,2017-2023
